,time,A,W,C,beta_hat,alpha,gamma,zeta,limit,q,r,N,M,p,s_final,route_adjacent_ratio,traced_edges,traced_edges_distant,group 0 adoption rate,group 1 adoption rate,avg. exp. interval - group 0,avg. exp. interval - group 1,avg. eff. inf. interval - group 0,avg. eff. inf. interval - group 1,case,infected_ratio
62,295,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,685,0.8737864077669902,0,0,,1.0,,2.928684627575277,,4.364444444444445,q-0.0_r-0.0,-14.222222222222221
63,308,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,835,0.8780487804878049,0,0,,1.0,,2.9646464646464645,,3.662716049382716,q-0.0_r-0.0,-17.555555555555557
64,67,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1992,0.875,0,0,,1.0,,3.1818181818181817,,0.0874074074074074,q-0.0_r-0.0,-43.266666666666666
65,227,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,496,0.8763089005235603,0,0,,1.0,,2.891644908616188,,5.075555555555556,q-0.0_r-0.0,-10.022222222222222
66,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,1.0,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
67,188,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,490,0.8702737940026075,0,0,,1.0,,3.108923884514436,,4.822222222222222,q-0.0_r-0.0,-9.88888888888889
68,201,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,642,0.8625180897250362,0,0,,1.0,,3.1375,,4.526913580246913,q-0.0_r-0.0,-13.266666666666667
69,69,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1998,0.9230769230769231,0,0,,1.0,,4.8,,0.06567901234567901,q-0.0_r-0.0,-43.4
70,15,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2010,1.0,0,0,,1.0,,1.0,,0.030123456790123456,q-0.0_r-0.0,-43.666666666666664
71,71,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1975,0.8979591836734694,0,0,,1.0,,2.5925925925925926,,0.15012345679012346,q-0.0_r-0.0,-42.888888888888886
72,252,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,643,0.8819695872556119,0,0,,1.0,,2.86784140969163,,4.494814814814815,q-0.0_r-0.0,-13.28888888888889
73,288,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,745,0.8569194683346364,0,0,,1.0,,3.085899513776337,,4.531851851851852,q-0.0_r-0.0,-15.555555555555555
74,44,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2015,1.0,0,0,,1.0,,0.8,,0.02567901234567901,q-0.0_r-0.0,-43.77777777777778
75,2,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2023,1.0,0,0,,1.0,,-1.0,,0.0,q-0.0_r-0.0,-43.955555555555556
76,6,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2020,1.0,0,0,,1.0,,-0.5,,0.0,q-0.0_r-0.0,-43.888888888888886
77,257,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,642,0.8639652677279306,0,0,,1.0,,3.1797101449275362,,4.514567901234568,q-0.0_r-0.0,-13.266666666666667
78,3,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2023,1.0,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.955555555555556
79,391,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,691,0.8702175543885972,0,0,,1.0,,2.773472429210134,,4.297283950617284,q-0.0_r-0.0,-14.355555555555556
80,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
81,73,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2014,0.6,0,0,,1.0,,6.8,,0.024691358024691357,q-0.0_r-0.0,-43.75555555555555
82,312,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,646,0.8701015965166908,0,0,,1.0,,2.8915304606240713,,4.45283950617284,q-0.0_r-0.0,-13.355555555555556
83,257,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,814,0.8809917355371901,0,0,,1.0,,2.96,,3.8217283950617285,q-0.0_r-0.0,-17.08888888888889
84,280,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,637,0.8695025234318673,0,0,,1.0,,3.0987460815047023,,4.406913580246914,q-0.0_r-0.0,-13.155555555555555
85,319,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,712,0.8841463414634146,0,0,,1.0,,3.2117117117117115,,4.192098765432099,q-0.0_r-0.0,-14.822222222222223
86,3,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2022,1.0,0,0,,1.0,,-1.0,,0.0,q-0.0_r-0.0,-43.93333333333333
87,241,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,633,0.8598130841121495,0,0,,1.0,,3.022727272727273,,4.212345679012346,q-0.0_r-0.0,-13.066666666666666
88,14,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2023,1.0,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.955555555555556
89,83,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1961,0.7936507936507936,0,0,,1.0,,2.9714285714285715,,0.17185185185185184,q-0.0_r-0.0,-42.577777777777776
90,20,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2022,1.0,0,0,,1.0,,5.0,,0.0019753086419753087,q-0.0_r-0.0,-43.93333333333333
91,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
92,3,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,1.0,0,0,,1.0,,-1.0,,0.0,q-0.0_r-0.0,-43.977777777777774
93,43,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2016,0.875,0,0,,1.0,,1.75,,0.016296296296296295,q-0.0_r-0.0,-43.8
94,412,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,999,0.8760975609756098,0,0,,1.0,,2.9388560157790926,,3.397530864197531,q-0.0_r-0.0,-21.2
95,7,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2022,1.0,0,0,,1.0,,1.0,,0.0,q-0.0_r-0.0,-43.93333333333333
96,36,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2009,0.9333333333333333,0,0,,1.0,,3.9166666666666665,,0.02962962962962963,q-0.0_r-0.0,-43.644444444444446
97,282,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,624,0.8635714285714285,0,0,,1.0,,2.8642533936651584,,4.33679012345679,q-0.0_r-0.0,-12.866666666666667
98,259,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,656,0.8706140350877193,0,0,,1.0,,3.086206896551724,,4.350123456790123,q-0.0_r-0.0,-13.577777777777778
99,16,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
100,136,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,1962,0.8548387096774194,185,0,,1.0,,2.375,,0.1654320987654321,q-0.0_r-0.05,-42.6
101,264,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,722,0.8740399385560675,171,0,,1.0,,3.0097560975609756,,4.188148148148148,q-0.0_r-0.05,-15.044444444444444
102,3,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2023,1.0,145,0,,1.0,,-1.0,,0.0,q-0.0_r-0.05,-43.955555555555556
103,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2024,1.0,169,0,,1.0,,-1.0,,0.0,q-0.0_r-0.05,-43.977777777777774
